prueba,metrica,qwen38_flash_next,qwen36_35b_a3b,unidad,notas
Explicacion_MoE,generacion,11.51,135.46,tokens/s,"Flash cumplio mejor las tres frases"
Razonamiento,generacion,11.21,136.77,tokens/s,"Ambos llegaron a 96 EUR; Qwen3.6 tuvo un desliz de redaccion"
Instrucciones,generacion,11.54,135.63,tokens/s,"Flash fue mas limpio; Qwen3.6 escribio 'pesos y sesos'"
Codigo_Python,generacion,11.56,134.98,tokens/s,"Flash uso heapq.nlargest; Qwen3.6 ordeno toda la lista"
Media_4_pruebas,generacion,11.46,135.71,tokens/s,"Qwen3.6 fue aproximadamente 11.8x mas rapido"
Tres_pruebas_comparables,prompt_processing,14.4,334.0,tokens/s,"Media aproximada; se excluyo la primera por contadores no comparables"
Prueba_larga,generacion,11.36,143.99,tokens/s,"2048 tokens generados por cada modelo"
Prueba_larga,tiempo_aproximado,180,14,segundos,"Valores mostrados en los clips"
Prueba_larga,tokens_generados,2048,2048,tokens,"Limite n-predict alcanzado por ambos"
Memoria,RAM_estabilizada,22.7,21.0,GB,"31.9 GB utilizables; aproximadamente 71% y 66%"
Memoria,VRAM_visible,11443,11199,MiB,"Diferencia aproximada de 244 MiB"
Generacion_larga,GPU_min,24,91,porcentaje,"Rango observado durante generacion"
Generacion_larga,GPU_max,29,93,porcentaje,"Rango observado durante generacion"
Ensayo_MTP_4K,prompt_sin_MTP,4.7,,tokens/s,"Flash Next; prueba separada de la comparativa principal"
Ensayo_MTP_4K,generacion_sin_MTP,9.7,,tokens/s,"Flash Next; prueba separada de la comparativa principal"
Ensayo_MTP_4K,prompt_con_MTP,3.7,,tokens/s,"Head autocontenido Q4_K_M y build especial"
Ensayo_MTP_4K,generacion_con_MTP,3.1,,tokens/s,"MTP empeoro el rendimiento en este equipo"

